Subject,Code,Type,Semester,RequirementOf,Goal,About
Teoria da Computação e Linguagens Formais,SCC0205,Disciplinas Obrigatórias,6º Semestre Ideal,SCC0217,"Dar ao aluno noção formal de algoritmo, computabilidade e do problema de decisão, de modo a deixá-lo consciente das limitações da ciência da computação. Aparelhá-lo com as ferramentas de modo a habilitá-lo a melhor enfrentar a solução de problemas com o auxílio do computador. Dar subsídios para o aluno poder definir linguagens de programação, isto é, sua sintaxe e semântica, através do estudo das gramáticas formais.","Linguagens Regulares: Autômatos finitos determinísticos e não-determinísticos; expressões regulares; técnicas para identificar e descrever linguagens regulares; técnicas para mostrar que uma linguagem não é regular; propriedades de tais linguagens. Linguagens Livres de Contexto: Gramáticas Livres de Contexto; derivações; árvores de derivação; ambigüidade; autômatos de pilha; propriedades de tais linguagens; técnicas para mostrar que uma linguagem não é livre de contexto. Linguagens Sensíveis ao Contexto e Linguagens Recursivamente Enumeráveis: Máquinas de Turing; definições básicas e sua relação com a noção de um algoritmo/programa. Poder das Máquinas de Turing e Tese de Church-Turing. Indecibilidade: Máquinas de Turing Universais; Limitações sobre a nossa habilidade de computar; problemas indecidíveis. Teoria de Complexidade: Complexidade de Tempo, Complexidade de Espaço, Intratabilidade.
Atividades de Extensão: Produção de vídeos disponibilizados publicamente sobre a história da ciência e, considerando a grande relevância da Informática no mundo, sobre questões que possam ser de interesse da sociedade. Também podem ser promovidos seminários abertos sobre esses assuntos.
Carga Horária: 10 horas."
Computadores e Sociedade I,SCC0207,Disciplinas Obrigatórias,6º Semestre Ideal,,"Conscientizar os estudantes de alguns dos problemas que surgem, para o indivíduo e sociedade, com a introdução dos computadores digitais. Espera-se, ainda, que o curso ajude os estudantes a tomarem ciência de suas futuras responsabilidades como profissionais em computação.","A Abrangência da Ética em Computação, A Importância do Raciocínio na Tomada de Decisões Éticas; CÓDIGOS DE ÉTICA PROFISSIONAIS.   O Código de Ética da ACM, O Código de Ética Unificado IEEE-CS/ACM para Engenharia de Software, Um Método para Tomada de Decisão em Situações Éticas. ACESSO NÃO AUTORIZADO: o que é considerado hacking?, tipos de invasões, as motivações dos hackers; PROPRIEDADE INTELECTUAL: a importância da proteção à propriedade intelectual , a propriedade intelectual e os códigos de ética da ACM e unificado , direito autoral, patente, segredos de negócio , engenharia reversa , novas tecnologias associadas ao direito autoral ; A ÉTICA NA INTERNET: liberdade de informação na internet, mensagens eletrônicas , habeas-data e privacidade , outras formas de privacidade relacionadas com a internet, privacidade nas telecomunicações - criptografia ; Sistemas Críticos com Relação à Segurança; Denúncia; Doenças Profissionais na Área de Computação; Gerenciamento da Carreira Profissional."
Inteligência Artificial,SCC0230,Disciplinas Obrigatórias,6º Semestre Ideal,SCC0270; SCC0276; SCC0633; SCC0231; SCC0233; SCC0244; SCC0244; SCC0277; SCC0287,Apresentar ao aluno as idéias fundamentais da Inteligência Artificial e algumas características relacionadas à implementação desse tipo de sistemas.,"História da Inteligência Artificial (IA). Caracterização dos problemas de IA e aplicações (por exemplo, em processamento de linguagem natural, mineração de dados e robótica). Introdução à programação lógica e seu uso em IA. Métodos de busca para resolução de problemas: busca cega e informada, busca com adversários. Formalismos de representação de conhecimento e inferência: lógica, redes semânticas, frames, scripts e regras de produção. Sistemas baseados em conhecimento. Noções gerais de aprendizado de máquina. Introdução a algumas técnicas relevantes de aprendizado, como árvores de decisão, naive-bayes, redes neurais, algoritmos genéticos e k-means. Ética e impactos da IA.
Atividades de Extensão: Alguns projetos práticos podem ser voltados para aplicações em tópicos de interesse para a sociedade, como desenvolvimento de modelos de detecção de fake news e de análise de sentimentos da população sobre determinados assuntos nas redes sociais (usando, por exemplo, dados disponíveis publicamente em repositórios e em portais científicos com conjuntos de dados).
Carga Horária: 10 horas."
Programação Matemática,SME0110,Disciplinas Obrigatórias,6º Semestre Ideal,,"Capacitar o aluno a perceber, formular e resolver problemas de otimização linear com variáveis contínuas e inteiras.","Definição de problemas de programação matemática. Introdução a modelagem de problemas de otimização linear com variáveis contínuas. Representação gráfica e solução gráfica de problemas de otimização linear com variáveis contínuas. Teoria da programação linear. Pontos extremos, vértices e soluções viáveis básicas. Degenerescência. O método simplex: condições de otimalidade e desenvolvimento. Encontrando uma solução viável básica inicial. Ciclagem. Aplicações de otimização com variáveis inteira, tipos de problemas e construção de modelos. Introdução a relaxação de modelos: Relaxação Linear; Lagrangiana e Combinatória. Método Branch-and-Bound. Princípio do método de Planos de Cortes e pré-processamento. Introdução a métodos heurísticos: heurísticas, metaheurísticas e matheurísticas. Heurísticas construtivas. Métodos de busca local: descida e máxima descida."
Computação de Alto Desempenho,SSC0903,Disciplinas Obrigatórias,6º Semestre Ideal,,"Transmitir aos alunos conceitos sobre computação de alto desempenho, considerando seus aspectos de hardware e software, com vistas ao desenvolvimento de aplicações paralelas.","Introdução à computação paralela: contexto e conceitos básicos.
Hardware paralelo para computação de alto desempenho: arquiteturas paralelas, organizações de hardware que impactam o desempenho (processadores,  memórias e redes de interconexão).
Projeto de software para computação de alto desempenho: modelos de programação para aplicações paralelas, ferramentas para o desenvolvimento de aplicações paralelas (compiladores, bibliotecas e padrões), escalonamento de processos.
Desenvolvimento de aplicações paralelas: estudos de caso.
Avaliação de desempenho de sistemas computacionais de alto desempenho: métricas e metodologias.
Teste de programas paralelos: conceitos, técnicas e ferramentas para o teste de programas paralelos."
Linguagens de Programação e Compiladores,SCC0217,Disciplinas Obrigatórias,7º Semestre Ideal,,Dar ao aluno as noções básicas sobre linguagens de programação e técnicas de construção de compiladores para linguagens de programação de alto nível.,"Introdução às linguagens de programação - evolução das linguagens, paradigmas, estruturas de programação, tipos de dados, níveis de descrição das linguagens. Conceitos básicos de compilação - compiladores e programas correlatos (interpretadores, pré-processadores, carregadores, etc.), compilação em um e em vários passos, tipos de compiladores (cruzado, auto-compilável, etc). Análise léxica. Análise sintática ascendente e descendente. Análise semântica e tabela de símbolos. Tratamento de erros léxicos, sintáticos e semânticos. Noções de geração de código intermediário e otimização. Geração de código objeto. Definição de uma linguagem e implementação de um compilador para uma máquina hipotética."
Computação Gráfica,SCC0250,Disciplinas Obrigatórias,7º Semestre Ideal,,"Fornecer ao aluno familiarização com a computação gráfica, bem como conhecimento e prática dos conceitos básicos e aplicações.","Origem e objetivos da Computação Gráfica. Dispositivos Vetoriais x Matriciais. Dispositivos de entrada e saída. Sistemas e equipamentos gráficos. Algoritmos para conversão matricial e preenchimento de primitivas gráficas. Transformações geométricas em duas e três dimensões; coordenadas homogêneas e matrizes de transformação. Transformação entre sistemas de coordenadas 2D e recorte. Transformações de projeção paralela e perspectiva; câmera virtual; transformação entre sistemas de coordenadas 3D. Definição de objetos e cenas tridimensionais: modelos poliedrais e malhas de polígonos. O Processo de Rendering: fontes de luz; remoção de linhas e superfícies ocultas; modelos de iluminação e de tonalização (shading): Flat, Gouraud e Phong. Aplicação de Texturas. O problema do serrilhado (aliasing) e técnicas de anti-serrilhado (antialiasing)."
Sistemas de Informação,SSC0120,Disciplinas Obrigatórias,7º Semestre Ideal,,"Dar ao estudante a compreensão do relacionamento existente entre os componentes técnicos de um Sistema de Informação e a Tecnologia de Informação com a estrutura, funções e políticas da Organização. Este curso objetiva colocar os sistemas de informação e a tecnologia de informação no contexto das organizações.","Fundamentos Organizacionais de Sistemas de Informação; O Papel Estratégico dos Sistemas de Informação; Sistemas de Informação e Organizações; Informação, Administração e Tomada de Decisão; Sistemas que Utilizam Trabalho com  Conhecimento e Informação (Information and Knowledge Work Systems); Melhoria da Tomada de Decisão Administrativa: Sistemas de Apoio à Decisão (DSS), Sistemas de Apoio à Decisão em Grupo(GDSS) e Sistemas de Apoio Executivo (ESS)."
Engenharia de Segurança,SSC0900,Disciplinas Obrigatórias,7º Semestre Ideal,SSC0901,"Familiarizar o aluno com conceitos básicos de segurança computacional e algoritmos criptográficos.
Devem ser tratados aspectos práticos.","Conceitos: ameaças, ataques, e recursos; princípios e estratégias de segurança; hacking ético. Criptografia: codificação simétrica para confidencialidade; autenticação de mensagens; codificação com chaves assimétricas; esteganografia. Autenticação: princípios de autenticação de usuários; palavras-chave, tokens, biometria; autenticação remota. Controle de acesso: usuários, objetos, e direitos de acesso; conjunto de direitos de acesso (papeis); controle baseado em atributos de acesso; identidade, credencial, e controle de acesso. Segurança em bancos de dados: ataques por SQL (injection); controle de acesso; criptografia em bancos de dados; inferência sobre dados; segurança em computação de nuvem. Software malicioso: tipos; ameaças persistentes; vírus, worms, spam, trojan, keyloggers, phishing, spyware, backdoors, entre outros; contra-ataque. Ataque por recusa de serviço: flooding, ataques distribuídos, mecanismos de defesa e de resposta. Firewalls: características e políticas de acesso; tipos; configuração. Governança da Internet: definições e esclarecimentos sobre governança da internet. Estudos de caso realizados em aulas práticas.

Atividades de extensão: Disponibilização de material didático. A carga horária corresponde a 15 horas."
Sistemas Computacionais Distribuídos,SSC0904,Disciplinas Obrigatórias,7º Semestre Ideal,SSC0744; SSC0744,Introduzir os fundamentos de sistemas computacionais distribuídos e suas técnicas de implementação. Aplicar os fundamentos e as técnicas de sistemas computacionais distribuídos em estudos de caso.,"Evolução histórica e introdução aos conceitos básicos;
Modelos arquiteturais: cliente-servidor, peer-to-peer, ad-hoc e outros; 
Modelos de comunicação e coordenação: memória compartilhada e distribuída;
Projetos de aplicações distribuídas: metodologias de projeto e desenvolvimento de aplicações distribuídas. Definição e características dos componentes de um sistema distribuído: front-ends, back-ends, brokers. Uso de banco de dados distribuídos como suporte a aplicações distribuídas;
Plataformas para o desenvolvimento de aplicações distribuídas;
Estudos de caso, tais como: sistemas de arquivos distribuídos, servidores de aplicação distribuídos, uso de grande volumes de dados abertos coletados de servidores governamentais, problemas relacionados à comunicação e sincronismo de aplicações distribuídas."
Estágio Supervisionado I,SCC0291,Disciplinas Obrigatórias,9º Semestre Ideal,SCC0292,"Para os alunos que optarem por um estágio em uma empresa, o objeto desta disciplina é permitir que o aluno se familiarize com o ambiente onde deverá exercer sua profissão. Além disso, dar-lhe uma visão mais abrangente da área e a possibilidade de trabalhar junto a uma equipe desenvolvendo um projeto real da prática profissional.","Para os alunos que optarem por um estágio em uma empresa, realização de projeto em firma conveniada ou aprovada pelo ICMC, sob supervisão do professor responsável pela disciplina e engajado em algum projeto na empresa, sob a responsabilidade de um supervisor na empresa. Ao final deve se executar uma monografia pormenorizada do projeto."
Estágio Supervisionado II,SCC0292,Disciplinas Obrigatórias,10º Semestre Ideal,,"Para os alunos que optarem por um estágio em uma empresa, o objeto desta disciplina é permitir que o aluno se familiarize com o ambiente onde deverá exercer sua profissão. Além disso, dar-lhe uma visão mais abrangente da área e a possibilidade de trabalhar junto a uma equipe desenvolvendo um projeto real da prática profissional.","Para os alunos que optarem por um estágio em uma empresa, realização de projeto em firma conveniada ou aprovada pelo ICMC, sob supervisão do professor responsável pela disciplina e engajado em algum projeto na empresa, sob a responsabilidade de um supervisor na empresa. Ao final deve se executar uma monografia pormenorizada do projeto."
Seminários em Gestão Organizacional,5500002,Disciplinas Optativas Livres,2º Semestre Ideal,,"O objetivo principal desta disciplina é abordar tópicos variados de gestão organizacional, de forma generalista, apresentando aos alunos uma visão geral das várias frentes da gestão, contribuindo para sua formação técnica e humanística em seu futuro profissional.","Visão geral da gestão organizacional em suas mais variadas frentes: planejamento e administração geral, orçamento e finanças, recursos humanos, gestão ambiental e desenvolvimento sustentável, prevenção de acidentes de trabalho, tecnologia de informação e comunicação, dentre outros tópicos relevantes."
Cálculo I (semipresencial),SMA0392,Disciplinas Optativas Livres,2º Semestre Ideal,,"Fazer com que os alunos familiarizem-se com os conceitos de limite, continuidade, diferenciabilidade e primitivas de funções de uma variável.
Esse oferecimento será exclusivo aos/as discentes interessados/das, de forma opcional, e que atendam aos seguintes critérios: já ter cursado a disciplina SMA0353-Cálculo I presencialmente, ter obtido nota entre 3,0 e 4,9 e frequência igual ou maior que 70%. A inscrição na disciplina será feita através de Requerimento de
Matrícula.","O conjunto dos números reais. Funções Reais de uma variável. Composição de funções.
Limites. Continuidade. Diferenciabilidade. Derivação de uma composição. Taxas relacionadas. Máximos e mínimos. Gráficos. Diferencial. Fórmula de Taylor. Primitivas."
Geometria Analítica (semipresencial),SMA0394,Disciplinas Optativas Livres,2º Semestre Ideal,,"Visa familiarizar os alunos com a geometria analítica no plano e no espaço, com ênfase nos seus aspectos geométricos e suas traduções em coordenadas cartesianas.

Esse oferecimento será exclusivo aos/as discentes interessados/das, de forma opcional, e que atendam aos seguintes critérios: já ter cursado a disciplina SMA0300-Geometria Analítica (ou equivalente na tabela de equivalências do Departamento de Matemática do ICMC-USP) presencialmente, ter obtido nota entre 3,0 e 4,9 e frequência igual ou maior que 70%. A inscrição na disciplina será feita através de Requerimento de Matrícula.","Coordenadas cartesianas. Vetores. Dependência linear. Bases. Produto escalar. Produto
vetorial. Translação e rotação. Retas e planos. Distância e ângulo. Cônicas. Equações
reduzidas das superfícies quádricas. Coordenadas polares, cilíndricas e esféricas."
Cálculo II (semipresencial),SMA0390,Disciplinas Optativas Livres,3º Semestre Ideal,,"Familiarizar os alunos com os resultados fundamentais relativos a: integração definida,
técnicas de integração, diferenciabilidade de funções de várias variáveis e extremos de
funções de várias variáveis.
Esse oferecimento será exclusivo aos/as discentes interessados/das, de forma
opcional, e que atendam aos seguintes critérios: já ter cursado a disciplina
SMA0354-Cálculo II presencialmente, ter obtido nota entre 3,0 e 4,9 e frequência
igual ou maior que 70%. A inscrição na disciplina será feita através de Requerimento
de Matrícula.","A integral definida. Técnicas de integração. Aplicações da integral. Integrais
impróprias. Curvas. Funções de várias variáveis. Limites. Derivadas parciais. A regra
da cadeia e aplicações. Gradiente e derivada direcional. Plano tangente e reta normal.
Polinômio de Taylor. Máximos e mínimos para funções de várias variáveis.
Multiplicadores de Lagrange."
Cálculo III (semipresencial),SMA0393,Disciplinas Optativas Livres,4º Semestre Ideal,,"Familiarizar os alunos com os resultados fundamentais relativos a: diferenciabilidade de funções de várias variáveis, integrais múltiplas, integrais de linha, integrais de superfície.
Esse oferecimento será exclusivo aos/as discentes interessados/das, de forma opcional, e que atendam aos seguintes critérios: já ter cursado a disciplina SMA0355-Cálculo III presencialmente, ter obtido nota entre 3,0 e 4,9 e frequência igual ou maior que 70%. A inscrição na disciplina será feita através de Requerimento
de Matrícula.",Integrais duplas. Transformação de coordenadas. Integrais triplas. Cálculo vetorial. Integrais de linha. Teorema de Green. Integrais de superfícies. O Teorema de Gauss. O Teorema de Stokes.
Cálculo IV (semipresencial),SMA0391,Disciplinas Optativas Livres,5º Semestre Ideal,,"Familiarizar os alunos com os resultados fundamentais relativos a: sequências e séries numéricas e de funções,
série de Fourier e aplicações.
Esse oferecimento será exclusivo aos/as discentes interessados/das, de forma opcional, e
que atendam aos seguintes critérios: já ter cursado a disciplina SMA0356-Cálculo IV
presencialmente, ter obtido nota entre 3,0 e 4,9 e frequência igual ou maior que 70%. A
inscrição na disciplina será feita através de Requerimento de Matrícula.","Sequências numéricas. Séries numéricas. Séries de Potências, Séries de Fourier. Aplicação de Sequências e
Séries na resolução de equações diferenciais."
Humanidades e Ciências Sociais,IAU0126,Disciplinas Optativas Livres,8º Semestre Ideal,,"Introduzir o aluno nas discussões sobre a questão da técnica nas sociedades contemporâneas, familiarizando-o com abordagens a partir da ótica das artes, das ciências sociais e da filosofia, visando aproximá-lo de modos de conhecimento diversos dos das ciências exatas.","Os temas do programa serão estudados a partir de uma disciplina que é matéria-prima e origem primordial das Humanidades e Ciências Sociais: a História. Nas aulas expositivas e seminários de leitura de textos, apresentaremos um quadro histórico das idéias, monstrando como mudanças tecnológicas influem nas transformações sociais e vice-versa. Tecnolgia e Humanidades não são entidades separadas, mas complementares na origem (techné = arte) - e ambas influenciam o desenvolvimento das artes. Aspectos principaisEVOLUÇÃO HISTÓRICA DO PENSAMENTO E AS RELAÇÕES ENTRE ARTE, CIÊNCIA E TÉCNICA.Panorama da evolução do conhecimento na Antiguidade, Idade Média, Renascença/Barroco, Absolutismo, Século das Luzes (século XVIII).O LONGO SÉCULO XIX (1792-1917)Rupturas e conseqüências da Era das Revoluções, a REolução Industrial e os 100 anos de hegemonia européia - A primeira globalização econômica - As contradições do progresso - Neoclassicismo, Romantismo e o advento das vanguardas.O CURTO SÉCULO XX (1917-1992) O Choque do Novo: Velhas Revoluções, Nova Ordem - Ruptura geral de paradigmas e valores - As guerras mundiais - O fim dos imperíos coloniais - O século americano - O desafio alemão - Revolução e desilusão: 75 anos de URSS - Casos da China, Japão, Índia e tigres asiáticos - A supremacia da cultura pop 0 O Movimento Moderno - Pós Modernismo e Pós-Estruturalismo.TRANSIÇÃO SÉCULOS XX-XXIGlobalização econômica e cultural - A tripla revolução: PC, Internet e telefone celular - A hegemonia técnica do Ocidente - O novo mapa dos conflitos pós-Guerra Fria - O novo fundamentalismo - A Questão Ambiental - Capital, Estado e meio-ambiente - Cultura pop: o fim da intimidade - A Cultura do Espetáculo: consumo do descartável."
Laboratório de Introdução à Ciência da Computação II,SCC0220,Disciplinas Optativas Eletivas,2º Semestre Ideal,,Implementar e experimentar em laboratório as técnicas e os algoritmos introduzidos aos alunos nas disciplinas de programação cursadas em conjunto. Preparar o aluno para registro de medidas em algoritmos para confecção de relatórios sobre experimentos realizados com os algoritmos implementados e para resolução de problemas de programação.,"Preparação de relatórios sobre experimentos realizados com algoritmos. Implementação e experimentação em laboratórios dos algoritmos e das estruturas de dados introduzidos nas disciplinas cursadas em conjunto. Resolução de problemas que façam uso das técnicas para construção de algoritmos, dos algoritmos clássicos de busca e de ordenação, e das estruturas de dados clássicas."
Prática em Organização de Computadores,SSC0119,Disciplinas Optativas Eletivas,3º Semestre Ideal,,"Desenvolver projetos práticos nas áreas de arquiteturas básicas de processadores, de microcomputadores e de linguagens de máquina em laboratório.","Aulas práticas abordando o projeto de implementação de uma CPU em linguagem de descrição de hardware, incluindo uma unidade de controle em máquinas de estado finito, e outros componentes básicos de uma CPU, como a unidade lógica e aritmética e um banco de registradores. Será abordado também o desenvolvimento de software em linguagem de máquina, incluindo macro instruções e micro instruções, barramentos e entrada e saída de dados."
Metodologia de Pesquisa em Computação,SCC0213,Disciplinas Optativas Eletivas,4º Semestre Ideal,,Este curso tem por objetivo introduzir os alunos no domínio de elementos básicos da pesquisa científica possibilitando-lhes condições de desenvolver projetos acadêmicos de estudo na área de computação.,"Projeto de pesquisa acadêmica: estrutura, escolha do tema/tese, estabelecimento dos objetivos, formulação do problema, construção de hipóteses, classificação de pesquisa. Panorama da pesquisa em computação. Escrita científica: técnicas e ferramentas. Revisão sistemática de Pesquisa. Experimentação com análise estatística de dados : o teste de hipótese; Correlação e Regressão; aferição da qualidade de classificações (precisão/revocação e curvas ROC). Uso de ferramentas como R e Pandas (python). Estatística Descritiva e Visualização Gráfica.
Atividades de Extensão: O método científico carece de maior divulgação, será muito benéfico que os alunos apresentem amplamente seus trabalhos, explicando o papel da ciência e potenciais de avanço, e o que é fazer ciência segundo o método científico.
Carga Horária: 10 horas."
Seminários em Computação I,SCC0227,Disciplinas Optativas Eletivas,4º Semestre Ideal,SCC0228,O objetivo principal desta disciplina é que o aluno crie o costume de participar de atividades extracurriculares que são de grande importância para sua formação e que ao mesmo tempo adquira conhecimentos e visões adicionais de diferentes áreas da computação,Apresentação de seminários e tutoriais sobre diferentes assuntos dentro da área de computação
Atividades Acadêmicas de Extensão I,SCC0295,Disciplinas Optativas Eletivas,4º Semestre Ideal,,"Estimular a proatividade dos alunos, incentivando-os a desempenhar atividades de extensão que possam ser incorporadas em seu currículo.","1. Organização e/ou promoção de cursos de difusão, atualização e outros; 
2. Eventos: organização e/ou promoção de congressos, seminários, mesas-redondas, semanas acadêmicas, simpósios, encontros, jornadas, palestras, conferências; 
3. Desenvolvimento de software livre; 
4. Desenvolvimento de projetos que possam beneficiar a comunidade externa; 
5. Outras atividades regulamentadas, a critério do docente responsável."
Laboratório de Algoritmos Avançados I,SCC0210,Disciplinas Optativas Eletivas,5º Semestre Ideal,SCC0211,"Resolucao de exercícios, buscando revisar/aprimorar habilidade no desenvolvimento rápido de algoritmos avançados, desenvolver o trabalho em grupo e assimilar dinâmica e formato de olimpiadas de Computação","Algoritmos avançados com foco no paradigma de construção de algoritmos e com tratamento baseado na resolução de problemas: estrutura de dados; árvores e grafos; strings (processamento); aritmética e álgebra; combinatória; teoria dos números; sorting, algoritmos gulosos.
Atividades de extensão: Confecção de material para publicação na web.
Carga horária: 10 horas."
Seminários em Computação II,SCC0228,Disciplinas Optativas Eletivas,5º Semestre Ideal,SCC0229,O objetivo principal desta disciplina é que o aluno crie o hábito de participar de atividades extracurriculares que são de grande importância para sua formação e que ao mesmo tempo adquira conhecimentos e visões adicionais de diferentes áreas da computação.,Apresentação de seminários e tutoriais sobre diferentes assuntos dentro da área de computação
Atividades Acadêmicas de Extensão II,SCC0296,Disciplinas Optativas Eletivas,5º Semestre Ideal,,"Estimular a proatividade dos alunos, incentivando-os a desempenhar atividades de extensão que possam ser incorporadas em seu currículo.","1. Organização e/ou promoção de cursos de difusão, atualização e outros; 
2. Eventos: organização e/ou promoção de congressos, seminários, mesas-redondas, semanas acadêmicas, simpósios, encontros, jornadas, palestras, conferências; 
3. Desenvolvimento de software livre; 
4. Desenvolvimento de projetos que possam beneficiar a comunidade externa; 
5. Outras atividades regulamentadas, a critério do docente responsável."
Sistemas Open Source,SSC0953,Disciplinas Optativas Eletivas,5º Semestre Ideal,,"Introduzir o aluno aos fundamentos do paradigma Open Source, desenvolver competências para atuar em
projetos, desenvolvimento e implantação de sistemas computacionais abertos, incluindo aspectos técnicos,
metodológicos, legais, gerenciais e estratégicos presentes em desafios do mundo real.","Fundamentos conceituais: introdução ao paradigma open source, evolução histórica, estado da arte, estudos de caso. Tecnologias e metodologias: recursos e ferramentas de desenvolvimento aberto e distribuído, sistemas controle de versões (ex Git), automação de projetos e compilação (ex. make, autotools), política de lançamentos e distribuição. Gestão de projetos: requisitos para desenvolvimento aberto e colaborativo, formação de comunidades de desenvolvedores, gestão de contribuições, fatores humanos.  Aspectos legais: noções essenciais em propriedade intelectual, direitos autorais, licenças de tecnologia, requisitos e implicações éticas, legais e econômicas na seleção de licenças de distribuição. Modelos de negócios: Open Source como estratégia de inovação, modelos de financiamento e de negócios, projetos comerciais e empreendedorismo."
Laboratório de Algoritmos Avançados II,SCC0211,Disciplinas Optativas Eletivas,6º Semestre Ideal,,Implementar em laboratório as técnicas de programação apresentadas em Algoritmos Avançados para consolidação da teoria estudada.,"Algoritmos avançados com foco no paradigma de construção de algoritmos e com tratamento baseado na resolução de problemas: backtracking, dividir para conquistar, diminuir para conquistar, transformar para conquistar, programação dinânica, fluxos em grafos, strings (matching), geometria e geometria computacional.
Atividades de extensão: Confecção de material para publicação na web.
Carga Horária: 10 horas."
Seminários em Computação III,SCC0229,Disciplinas Optativas Eletivas,6º Semestre Ideal,,O objetivo principal desta disciplina é que o aluno crie o costume de participar de atividades extracurriculares que são de grande importância para sua formação e que ao mesmo tempo adquira conhecimentos e visões adicionais de diferentes áreas da computação.,Apresentação de seminários e tutoriais sobre diferentes assuntos dentro da área de computação
Banco de dados NoSQL e arcabouços distribuídos de processamento,SCC0247,Disciplinas Optativas Eletivas,6º Semestre Ideal,,"Introduzir os conceitos, técnicas e ferramentas da gerência e análise de dados em larga escala, voltados a
aplicações comerciais para as quais o paradigma relacional de bases de dados não provê o suporte necessário.
O curso visa prover teoria e prática a fim de que os alunos possam aplicar as técnicas e ferramentas NoSQL.","Teoria e prática em bases de dados NoSQL; Teorema CAP (Consistência, Disponibilidade, Particionamento);
dados em larga escala e computação em nuvem; modelos de armazenamento: por linha, por coluna, e
compressão de dados. Bases de dados orientadas a grafos; bases de dados estruturados em chave-valor;
bases de dados temporais; representação de dados textuais e semiestruturados; JSON, JSONB e XML. Modelo de programação MapReduce e o arcabouço Hadoop; arcabouço Spark com aplicações em Ciência de Dados."
Introdução ao Desenvolvimento de Jogos Eletrônicos,SSC0770,Disciplinas Optativas Eletivas,6º Semestre Ideal,,"Introduzir ao aluno os problemas e soluções computacionais no domínio de jogos eletrônicos, por meio de aulas, seminários e práticas em laboratório.  Familiarizar o aluno com os desafios tecnológicos e metodológicos do desenvolvimento de jogos eletrônicos. Aplicar conhecimento teórico e prático transdisciplinar de diferentes áreas do conhecimento. Capacitar o aluno em conceitos e técnicas essenciais ao desenvolvimento de aplicações de jogos eletrônicos em aplicações de entretenimento, científicas, terapêuticas e educacionais.","Introdução a jogos eletrônicos, histórico, evolução, sistemática, tipos de jogos e mercado atual. Estudo de metodologias, desenvolvimento e documentação de um projeto de jogo. Características de software e hardware, tecnologias e ferramentas. Conceitos de arquitetura, motor de jogo e seus componentes: motor físico, renderizador gráfico, animação, áudio e linguagem de extensão. Técnicas de inteligência artificial para jogos, manipulação de multimídia e recursos. Estruturas de dados e elementos típicos de jogos, conceito de cena e mundo. Simulação de tempo real: controle de entrada, colisão física e computação gráfica."
Infraestrutura para Computação de Alto Desempenho e Sistemas Distribuídos,SSC0954,Disciplinas Optativas Eletivas,6º Semestre Ideal,,"Desenvolver nos alunos habilidades e competências para criação e manutenção de uma infraestrutura básica para computação distribuída/paralela, aplicando na prática conceitos de arquitetura de computadores, sistemas operacionais, redes de computadores, computação de alto desempenho e sistemas distribuídos.","A importância da infraestrutura para computação distribuída: contexto, motivação e conceitos essenciais;
Estudos de caso de plataformas para computação de alto desempenho
Visitas a centros de computação que hospedam tais infraestruturas: contato real com profissionais e equipamentos utilizados na atualidade;
Projeto e configuração de uma infraestrutura distribuída: construção de uma infraestrutura básica para computação distribuída, envolvendo aspectos de hardware e software, principalmente os estudados pelos alunos em arquitetura de computadores, sistemas operacionais, redes de computadores, computação de alto desempenho e sistemas distribuídos;
Execução de aplicações paralelas e distribuídas na infraestrutura distribuída;
Avaliação de desempenho de infraestruturas computacionais distribuídas: métricas e metodologias.

Atividades de extensão: Disponibilização de material didático em diversos formatos (REAs, Vídeos, Tutoriais), Montagem de infraestrutura computacional incluindo servidores, switches, roteadores, firewalls, storages, rack para processamento paralelo e distribuído, tanto em ambientes somente com CPUs, quanto com GPUs (placas gráficas). A carga horária corresponde a 15 horas."
Empreendedores em Informática,SCC0209,Disciplinas Optativas Eletivas,7º Semestre Ideal,,"Desenvolver a capacidade empreendedora dos alunos, estimulando e dando ferramentas àqueles cuja vocação profissional estiver direcionada à criação de um empreendimento em informática.","Parte I - Desenvolvimento da capacidade empreendedora na área de Computação, com ênfase na análise do negócio de Informática, perfil do empreendedor, sistema de gerenciamento, técnicas de negociação, planejamento estratégico e administração estratégica, qualidade e competitividade
Parte II - Construção de Plano de Negócios relacionado com Computação.
Atividades de Extensão: Projetos práticos em tópicos de interesse para a sociedade. Carga horária extensão: 10 horas."
Laboratório de Bases de Dados,SCC0241,Disciplinas Optativas Eletivas,7º Semestre Ideal,,Desenvolvimento de aplicações práticas utilizando Sistemas Gerenciadores de Bases de Dados relacionais e ferramentas de apoio. Consolidação da teoria desenvolvida na disciplina SCC0240 Bases de Dados.,"Linguagem SQL: comandos de definição de dados e de manipulação de dados. Integridade e segurança em bases de dados: conceitos e comandos SQL. Comandos analíticos em SQL. Visões, gatilhos (triggers) e procedimentos armazenados (stored procedures). Acesso multiusuário em bases de dados. Projeto de sistemas usando a tecnologia cliente/servidor em bases de dados."
